transaction_id,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,scaled_amount,scaled_time
6403,Food,0,1,82,2,51,-0.4235155944147201,-0.5
5803,Electronics,0,0,42,2,18,-0.3394232024011484,-0.5
4132,Grocery,0,0,26,2,25,-0.40639436252120575,-1.0
7627,Clothing,0,0,97,1,34,1.433929270520684,0.9166666666666666
6047,Food,0,0,91,1,28,-0.5322458567140806,-1.0
2947,Clothing,0,0,82,0,40,0.04032363304188957,-0.6666666666666666
9962,Travel,0,0,65,2,30,0.15714472138849012,-0.3333333333333333
2525,Travel,0,0,35,1,54,0.8959676366958111,0.8333333333333334
7188,Electronics,0,0,99,2,45,-0.18830745138979516,-0.4166666666666667
5469,Clothing,0,0,76,2,39,1.1135325590499805,0.3333333333333333
4809,Clothing,0,0,60,3,59,-0.370846926791074,0.16666666666666666
4344,Food,0,0,78,1,46,1.0075688372699987,0.4166666666666667
7353,Clothing,0,0,55,2,65,0.007020749053895336,-0.5
6295,Travel,0,0,82,4,44,1.266005480882161,0.9166666666666666
7812,Travel,0,0,75,3,43,-0.5826699725955893,-0.08333333333333333
3784,Electronics,0,0,58,2,25,1.0087172125799295,-0.16666666666666666
9881,Clothing,0,0,80,0,24,-0.1208143024924964,-0.08333333333333333
5589,Grocery,1,0,49,4,36,1.8420722954456479,-0.16666666666666666
6274,Clothing,0,0,68,3,51,0.11173169776849799,0.16666666666666666
7442,Electronics,0,0,57,1,18,-0.5639305754926269,0.0
8030,Electronics,0,0,97,6,63,0.9039540649876028,0.5833333333333334
8875,Grocery,0,0,32,1,61,1.7920657705859329,0.3333333333333333
951,Food,0,0,88,4,37,0.22484666579668533,-0.4166666666666667
9439,Grocery,0,0,77,2,30,-0.6364870155291662,-0.9166666666666666
3719,Clothing,0,0,63,1,36,-0.08782461177084695,0.75
1860,Grocery,0,0,69,2,36,0.5876810648571057,-0.4166666666666667
9512,Electronics,0,0,26,1,66,0.07670625081560743,-0.4166666666666667
7474,Clothing,0,0,93,3,49,0.038235677932924386,-0.75
5229,Grocery,0,0,57,1,62,-0.4827091217538823,-0.6666666666666666
2220,Grocery,0,0,74,3,68,-0.525094610465875,-0.5833333333333334
6150,Clothing,0,0,91,1,27,2.1083387707164296,0.9166666666666666
995,Electronics,0,0,41,3,48,-0.21654704423854887,-0.5
7265,Travel,0,0,89,1,65,0.9029622863108443,0.5
4519,Food,0,0,54,2,43,-0.43202401148375313,0.5
7368,Travel,0,0,46,4,18,0.17583191961372832,0.3333333333333333
9307,Clothing,1,0,63,2,29,-0.3640088738092131,0.16666666666666666
8443,Grocery,0,1,30,4,60,0.35993736134673116,0.8333333333333334
4706,Clothing,0,0,40,3,25,-0.12196267780242723,-0.25
1867,Clothing,0,0,84,2,59,-0.5958762886597938,0.16666666666666666
862,Electronics,0,0,69,1,48,-0.06997259558919484,0.75
6025,Grocery,0,0,41,3,48,-0.5479577189090434,-0.6666666666666666
4694,Travel,0,0,63,0,46,0.053373352472921805,-0.25
7042,Food,0,0,67,3,21,-0.16544434294662663,0.25
8240,Food,0,0,30,5,43,-0.48166514419939976,-0.4166666666666667
3668,Food,0,0,87,2,52,-0.47273913610857365,0.4166666666666667
2634,Travel,0,0,83,5,37,-0.4656922876158163,-0.75
3814,Travel,0,0,50,1,53,0.2570011744747489,0.8333333333333334
8114,Clothing,1,0,81,0,26,0.3856192091870025,-0.08333333333333333
2989,Electronics,1,0,48,2,42,0.5535429988255253,-0.5
8026,Food,0,0,94,0,45,-0.14780112227587106,-0.3333333333333333
2126,Grocery,1,0,88,0,50,0.39846013310713824,0.16666666666666666
6608,Travel,0,0,31,2,22,0.08589325329505422,-0.6666666666666666
9744,Food,0,0,28,1,53,0.4451781286702336,-0.25
1902,Travel,0,0,82,1,18,-0.6324155030666841,-0.5
5321,Travel,1,0,92,1,45,-0.32532950541563355,0.0
1916,Electronics,0,0,89,1,41,0.5657053373352473,-0.08333333333333333
2821,Grocery,1,0,31,4,58,1.8115359519770324,0.16666666666666666
5220,Food,0,0,90,2,40,-0.5807386141197964,0.8333333333333334
9753,Travel,0,0,31,1,36,-0.001226673626517027,-0.25
428,Food,0,0,45,2,46,1.4171734307712385,0.5
1406,Food,1,0,57,2,42,-0.032546000260994384,-0.08333333333333333
8121,Clothing,0,0,33,0,60,-0.31551611640349736,0.9166666666666666
5674,Travel,0,0,30,3,50,-0.28299621558136506,-0.5
1043,Electronics,0,0,52,2,40,-0.2766801513767454,0.3333333333333333
6432,Grocery,0,1,80,3,67,2.0263343338118234,-0.5
8787,Food,0,0,71,4,23,0.006133368132585135,0.3333333333333333
4602,Clothing,0,0,84,3,39,0.7999217016834137,0.6666666666666666
7175,Grocery,0,0,70,2,58,-0.5416416547044239,0.25
7204,Grocery,0,0,74,2,21,-0.525094610465875,0.75
7576,Grocery,0,0,89,2,37,-0.4638131280177476,-0.8333333333333334
8956,Electronics,1,0,46,3,51,-0.27125146809343603,0.4166666666666667
5620,Food,0,0,36,4,58,-0.43646091609030413,0.75
5675,Electronics,0,0,62,4,56,2.340571577711079,0.16666666666666666
1457,Food,0,0,68,1,54,0.46167297403105834,-0.16666666666666666
8454,Clothing,0,0,72,1,57,-0.08991256687981206,0.9166666666666666
5417,Electronics,0,0,26,1,18,-0.22750880856061592,-0.3333333333333333
5635,Travel,0,1,28,1,40,-0.44596111183609555,0.08333333333333333
121,Electronics,0,0,99,3,18,0.9104789247031189,-1.0
3221,Grocery,0,0,65,0,26,0.04241158815085476,-1.0
5566,Food,0,0,54,0,30,-0.6138849014746184,-0.6666666666666666
795,Electronics,0,0,48,2,29,-0.6201487668015138,0.9166666666666666
7774,Food,0,0,46,2,43,-0.26879812084040194,0.8333333333333334
324,Grocery,0,0,45,1,43,-0.3287746313454261,0.5833333333333334
2803,Travel,0,0,80,6,30,2.065953282004437,0.9166666666666666
8992,Food,0,0,85,3,57,-0.4233067989038236,-0.8333333333333334
487,Travel,0,0,98,2,39,-0.5936317369176562,0.3333333333333333
7912,Travel,0,0,88,2,62,-0.13694375570925227,0.75
2639,Clothing,0,0,81,0,25,2.1920657705859323,-0.3333333333333333
773,Clothing,1,0,91,3,56,-0.5091739527600156,0.75
2985,Clothing,1,0,65,2,41,0.10552003131932666,-0.6666666666666666
9443,Travel,0,0,53,4,46,-0.38253947540127886,0.3333333333333333
4089,Travel,0,0,76,2,48,1.14171995302101,-0.25
6169,Travel,0,0,67,2,54,-0.5832441602505547,-0.08333333333333333
9358,Electronics,1,0,42,2,64,-0.47054678324416027,0.3333333333333333
9367,Electronics,0,0,40,3,57,0.07472269346209055,-0.08333333333333333
8293,Electronics,0,0,64,4,62,-0.5682108834660056,0.8333333333333334
4623,Clothing,0,0,96,2,32,-0.48829440167036414,0.16666666666666666
2715,Clothing,0,0,30,3,53,-0.6360694245073731,0.08333333333333333
6951,Grocery,0,0,56,2,41,0.6755317760668146,0.8333333333333334
1759,Food,0,0,30,2,62,-0.5281221453738745,0.4166666666666667
8590,Food,0,1,79,3,63,0.4064987602766541,0.75
8864,Electronics,0,0,89,2,49,0.26102048805950673,0.08333333333333333
7065,Electronics,0,0,92,2,49,-0.5053634346861543,-0.9166666666666666
6829,Electronics,0,0,46,0,68,0.42184523032754795,-0.9166666666666666
5796,Food,0,0,29,2,28,0.852172778285267,-0.08333333333333333
8091,Clothing,1,0,68,4,49,1.2281090956544436,0.08333333333333333
2015,Electronics,0,0,30,3,20,0.07691504632650406,0.08333333333333333
6268,Clothing,0,0,80,4,53,-0.5410674670494585,-0.3333333333333333
1338,Food,0,0,40,4,64,0.43395536995954587,-0.8333333333333334
7121,Travel,0,1,66,1,25,1.5990343207621038,-1.0
8736,Food,0,0,93,2,42,3.141354560876941,-0.3333333333333333
1088,Electronics,0,0,57,2,46,-0.465587889860368,0.4166666666666667
53,Electronics,0,0,56,1,59,1.998303536473966,0.5833333333333334
446,Clothing,0,0,53,1,24,2.127078167819392,-0.6666666666666666
1871,Grocery,0,0,46,1,31,0.962364609160903,-0.5
3595,Grocery,0,0,37,1,68,-0.005350384966723245,-0.5833333333333334
2855,Clothing,0,0,59,2,68,-0.536421766932011,-0.16666666666666666
7891,Clothing,0,0,26,3,44,-0.4840662925747097,0.5833333333333334
1131,Electronics,0,0,62,2,67,0.5702988385749707,0.9166666666666666
4907,Travel,0,0,86,1,67,2.5351689938666317,0.75
362,Electronics,0,0,51,0,27,0.3312279785984602,0.0
4391,Electronics,0,0,44,1,46,-0.4448127365261647,0.5833333333333334
6959,Electronics,0,0,66,1,47,0.5021793031449825,-1.0
7577,Travel,0,0,36,3,68,0.1795380399321415,0.5
4472,Food,0,0,82,3,49,3.8459350123972333,0.08333333333333333
4934,Food,0,0,73,2,56,-0.08437948584105438,-0.8333333333333334
987,Food,0,0,25,1,53,0.45828004697898994,-0.08333333333333333
2996,Food,0,0,42,2,29,1.246222106224716,0.25
8164,Food,0,0,96,2,57,-0.0212188437948584,-0.6666666666666666
6220,Electronics,1,0,81,2,40,-0.48307451389795125,0.16666666666666666
6528,Clothing,0,0,39,4,44,1.0570011744747487,0.5833333333333334
3613,Grocery,1,0,48,1,46,-0.1963982774370351,-0.5
4415,Food,0,0,82,3,39,-0.14033668276132066,0.08333333333333333
7790,Grocery,1,0,92,1,31,0.18094740963069292,-0.16666666666666666
5743,Grocery,0,0,85,1,44,1.040871721257993,-0.6666666666666666
7503,Clothing,0,0,31,1,23,-0.5117838966462221,0.08333333333333333
789,Travel,0,0,60,3,26,-0.05488711992692158,-0.3333333333333333
231,Travel,0,0,35,3,58,0.8508156074644394,-0.5
7860,Electronics,1,0,68,2,42,-0.43155422158423595,-0.5
9202,Grocery,1,0,37,2,19,-0.0876158162599504,-0.08333333333333333
8911,Travel,0,0,53,1,67,0.6008873809213102,0.08333333333333333
2878,Electronics,0,0,91,3,69,-0.4221584235938928,-0.16666666666666666
1074,Food,0,0,70,2,67,-0.6203575623124103,0.5
4537,Clothing,0,0,92,2,19,-0.11491582930966986,-0.16666666666666666
2210,Food,1,0,61,3,29,1.633224585671408,0.5833333333333334
7226,Grocery,0,0,74,1,64,2.7239723345948064,-0.9166666666666666
2795,Food,0,0,98,1,69,-0.097585801905259,0.08333333333333333
692,Travel,0,0,27,0,30,-0.1166383922745661,0.75
1892,Electronics,0,0,99,3,59,-0.15500456740180082,-0.5833333333333334
6040,Grocery,0,0,37,1,30,1.2553569098264388,-0.08333333333333333
6440,Grocery,0,0,25,3,42,0.07117316977684976,0.5
1590,Electronics,0,0,31,0,34,0.5507242594284223,0.0
965,Electronics,0,0,81,0,21,-0.3172386793683936,0.16666666666666666
46,Grocery,0,0,39,3,46,0.38332245856714087,-0.9166666666666666
4310,Food,0,0,26,2,37,0.8002348949497585,-0.5833333333333334
7456,Clothing,0,0,52,3,29,5.767532298055592,-0.25
8997,Electronics,0,0,72,3,46,-0.4674670494584367,-0.25
6654,Grocery,0,0,95,4,65,-0.4527469659402323,-0.08333333333333333
3541,Food,0,0,27,5,41,-0.4152159728565836,-1.0
8553,Food,0,1,64,2,50,0.34427769802949243,-0.25
949,Clothing,0,0,26,1,20,1.308182174083257,0.08333333333333333
2597,Clothing,0,0,75,3,57,-0.3397885945452173,-0.5833333333333334
1636,Clothing,0,0,97,2,31,-0.38608899908651967,0.0
9169,Clothing,0,0,38,4,53,-0.34036278220018273,-0.4166666666666667
1379,Travel,0,0,34,1,43,-0.21910478924703117,0.8333333333333334
2858,Electronics,0,0,59,1,47,-0.6,0.9166666666666666
688,Travel,0,0,64,3,38,-0.3286702335899778,0.9166666666666666
1440,Grocery,1,0,37,4,22,0.414171995302101,0.6666666666666666
9658,Travel,0,0,56,2,44,-0.43285919352733915,0.6666666666666666
5263,Food,0,1,94,4,48,0.129113924050633,-0.8333333333333334
1433,Clothing,0,0,45,2,29,-0.006759754665274706,0.6666666666666666
296,Clothing,0,1,73,4,42,0.05671408064726614,0.4166666666666667
5688,Electronics,0,1,64,2,68,1.643977554482579,-0.6666666666666666
1351,Travel,0,0,90,1,41,1.2584366436121626,-0.8333333333333334
6031,Travel,0,1,49,2,46,0.2796032885292966,-0.8333333333333334
2360,Grocery,0,0,53,2,56,-0.4932532950541564,0.6666666666666666
5297,Clothing,0,0,51,1,28,-0.04481273652616466,-0.9166666666666666
4398,Food,0,0,68,0,22,-0.5618426203836617,-0.3333333333333333
3864,Clothing,0,1,49,3,58,-0.3603027534908,0.6666666666666666
2998,Food,0,1,67,5,40,-0.28894688764191573,-0.4166666666666667
3526,Travel,0,0,55,0,68,-0.4876158162599504,-1.0
6620,Travel,1,0,29,1,58,0.5772412893122799,0.5
8891,Travel,0,0,88,2,22,-0.33843142372439,-0.08333333333333333
2546,Clothing,0,0,45,2,23,-0.009004306407412212,-0.3333333333333333
2788,Food,0,0,81,3,56,-0.43124102831789124,0.0
2717,Grocery,0,1,70,4,65,0.3396319979120449,-0.75
